"Equipo,Estadio,Lat,Lon"
"Real Madrid,Santiago Bernabeu,40.45306,-3.68835"
"Barcelona,Montjuic,41.364722,2.155556"
"Las Palmas,Estadio de Gran Canaria,28.1,-15.456667"
"Ath Madrid,Metropolitano,40.436111,-3.599444"
"Ath Bilbao,San Mames,43.264205,-2.949369"
"Getafe,Coliseum Alfonso Perez,40.325556,-3.714722"
"Valladolid,Jose Zorilla,41.644444,-4.761111"
"Valencia,Mestalla,39.474722,-0.358333"
"Villarreal,La Ceramica,39.944167,-0.103611"
"Leganes,Butarque,40.3404,-3.7607"
"Sevilla,Ramon Sanchez Pizjuan,37.383878,-5.970467"
"Betis,Benito Villamarin,37.356403,-5.981611"
"Sociedad,Reale Arena,43.301378,-1.973617"
"Osasuna,El Sadar,42.796667,-1.636944"
"Mallorca,Son Moix,39.59,2.63"
"Espanol,RCDE Stadium,41.347861,2.075667"
"Celta,Balaidos,42.211861,-8.740328"
"Vallecano,Vallecas,40.391944,-3.658961"
"Girona,Montilivi,41.961389,2.828611"
"Alaves,Mendizorroza,42.837111,-2.688044"